% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.126994562e+04 +1.126994562e+04 +1.134942562e+04 +1.134942562e+04 +2.3000e+01 +1.7000e+01 +3.0000e+01 +1.7000e+01 +2.3000e+01 +3.0000e+01 +2.9000e+01 +2.2000e+01 +2.8000e+01 +7.0000e+00 +2.9000e+01 +2.5000e+01 +1.2000e+01 +2.8000e+01 +2.1000e+01 +2.8000e+01 +2.5000e+01 +2.2000e+01 +1.9000e+01 +2.1000e+01
2 +8.939683217e+03 +8.939683217e+03 +9.019163217e+03 +9.019163217e+03 +2.6000e+01 +3.0000e+01 +3.0000e+01 +3.0000e+01 +2.6000e+01 +3.0000e+01 +2.2000e+01 +2.0000e+01 +3.0000e+00 +2.6000e+01 +2.2000e+01 +1.6000e+01 +1.8000e+01 +1.0000e+00 +6.0000e+00 +1.0000e+00 +1.6000e+01 +2.0000e+01 +1.3000e+01 +6.0000e+00
27 +5.912014417e+03 +5.912014417e+03 +5.991494417e+03 +5.991494417e+03 +1.7000e+01 +1.7000e+01 +1.7000e+01 +1.7000e+01 +1.7000e+01 +1.7000e+01 +1.7000e+01 +1.7000e+01 +1.7000e+01 +1.7000e+01 +1.7000e+01 +1.7000e+01 +1.7000e+01 +1.7000e+01 +1.7000e+01 +1.7000e+01 +1.7000e+01 +1.7000e+01 +1.7000e+01 +1.7000e+01
35 +3.502075217e+03 +3.502075217e+03 +3.581555217e+03 +3.581555217e+03 +1.3000e+01 +1.3000e+01 +1.3000e+01 +1.3000e+01 +1.3000e+01 +1.3000e+01 +1.3000e+01 +1.3000e+01 +1.3000e+01 +1.3000e+01 +1.3000e+01 +1.3000e+01 +1.3000e+01 +1.3000e+01 +1.3000e+01 +1.3000e+01 +1.3000e+01 +1.3000e+01 +1.3000e+01 +1.3000e+01
41 +2.114620817e+03 +2.114620817e+03 +2.194100817e+03 +2.194100817e+03 +1.0000e+01 +1.0000e+01 +1.0000e+01 +1.0000e+01 +1.0000e+01 +1.0000e+01 +1.0000e+01 +1.0000e+01 +1.0000e+01 +1.0000e+01 +1.0000e+01 +1.0000e+01 +1.0000e+01 +1.0000e+01 +1.0000e+01 +1.0000e+01 +1.0000e+01 +1.0000e+01 +1.0000e+01 +1.0000e+01
45 +1.389651217e+03 +1.389651217e+03 +1.469131217e+03 +1.469131217e+03 +8.0000e+00 +8.0000e+00 +8.0000e+00 +8.0000e+00 +8.0000e+00 +8.0000e+00 +8.0000e+00 +8.0000e+00 +8.0000e+00 +8.0000e+00 +8.0000e+00 +8.0000e+00 +8.0000e+00 +8.0000e+00 +8.0000e+00 +8.0000e+00 +8.0000e+00 +8.0000e+00 +8.0000e+00 +8.0000e+00
49 +8.246816173e+02 +8.246816173e+02 +9.041616173e+02 +9.041616173e+02 +6.0000e+00 +6.0000e+00 +6.0000e+00 +6.0000e+00 +6.0000e+00 +6.0000e+00 +6.0000e+00 +6.0000e+00 +6.0000e+00 +6.0000e+00 +6.0000e+00 +6.0000e+00 +6.0000e+00 +6.0000e+00 +6.0000e+00 +6.0000e+00 +6.0000e+00 +6.0000e+00 +6.0000e+00 +6.0000e+00
51 +6.021968173e+02 +6.021968173e+02 +6.816768173e+02 +6.816768173e+02 +5.0000e+00 +5.0000e+00 +5.0000e+00 +5.0000e+00 +5.0000e+00 +5.0000e+00 +5.0000e+00 +5.0000e+00 +5.0000e+00 +5.0000e+00 +5.0000e+00 +5.0000e+00 +5.0000e+00 +5.0000e+00 +5.0000e+00 +5.0000e+00 +5.0000e+00 +5.0000e+00 +5.0000e+00 +5.0000e+00
55 +2.772272173e+02 +2.772272173e+02 +3.567072173e+02 +3.567072173e+02 +3.0000e+00 +3.0000e+00 +3.0000e+00 +3.0000e+00 +3.0000e+00 +3.0000e+00 +3.0000e+00 +3.0000e+00 +3.0000e+00 +3.0000e+00 +3.0000e+00 +3.0000e+00 +3.0000e+00 +3.0000e+00 +3.0000e+00 +3.0000e+00 +3.0000e+00 +3.0000e+00 +3.0000e+00 +3.0000e+00
57 +1.747424173e+02 +1.747424173e+02 +2.542224173e+02 +2.542224173e+02 +2.0000e+00 +2.0000e+00 +2.0000e+00 +2.0000e+00 +2.0000e+00 +2.0000e+00 +2.0000e+00 +2.0000e+00 +2.0000e+00 +2.0000e+00 +2.0000e+00 +2.0000e+00 +2.0000e+00 +2.0000e+00 +2.0000e+00 +2.0000e+00 +2.0000e+00 +2.0000e+00 +2.0000e+00 +2.0000e+00
