% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.193584017e+03 +6.193584017e+03 +6.273064017e+03 +6.273064017e+03 +3.1000e+01 +8.0000e+00 +1.6000e+01 +5.0000e+00 +2.1000e+01 +2.3000e+01 +2.0000e+00 +2.8000e+01 +8.0000e+00 +0.0000e+00 +4.0000e+00 +1.8000e+01 +1.6000e+01 +2.1000e+01 +2.4000e+01 +2.0000e+01 +0.0000e+00 +2.6000e+01 +1.9000e+01 +9.0000e+00
6 +3.877731217e+03 +3.877731217e+03 +3.957211217e+03 +3.957211217e+03 +1.8000e+01 +3.0000e+00 +2.7000e+01 +1.3000e+01 +0.0000e+00 +1.6000e+01 +1.4000e+01 +0.0000e+00 +1.2000e+01 +0.0000e+00 +2.7000e+01 +1.8000e+01 +1.5000e+01 +0.0000e+00 +2.6000e+01 +1.0000e+00 +0.0000e+00 +6.0000e+00 +0.0000e+00 +0.0000e+00
14 +2.421435217e+03 +2.421435217e+03 +2.500915217e+03 +2.500915217e+03 +1.0000e+01 +3.0000e+00 +2.3000e+01 +9.0000e+00 +0.0000e+00 +1.2000e+01 +1.0000e+01 +0.0000e+00 +8.0000e+00 +0.0000e+00 +2.3000e+01 +1.4000e+01 +1.1000e+01 +0.0000e+00 +2.2000e+01 +0.0000e+00 +0.0000e+00 +2.0000e+00 +0.0000e+00 +0.0000e+00
22 +1.434070417e+03 +1.434070417e+03 +1.513550417e+03 +1.513550417e+03 +6.0000e+00 +0.0000e+00 +1.9000e+01 +5.0000e+00 +0.0000e+00 +8.0000e+00 +6.0000e+00 +0.0000e+00 +4.0000e+00 +0.0000e+00 +1.9000e+01 +1.0000e+01 +7.0000e+00 +0.0000e+00 +1.8000e+01 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
28 +9.302864173e+02 +9.302864173e+02 +1.009766417e+03 +1.009766417e+03 +3.0000e+00 +0.0000e+00 +1.6000e+01 +2.0000e+00 +0.0000e+00 +5.0000e+00 +3.0000e+00 +0.0000e+00 +1.0000e+00 +0.0000e+00 +1.6000e+01 +7.0000e+00 +4.0000e+00 +0.0000e+00 +1.5000e+01 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
33 +5.668384173e+02 +5.668384173e+02 +6.463184173e+02 +6.463184173e+02 +5.0000e+00 +4.0000e+00 +0.0000e+00 +0.0000e+00 +5.0000e+00 +7.0000e+00 +0.0000e+00 +1.2000e+01 +0.0000e+00 +0.0000e+00 +0.0000e+00 +2.0000e+00 +0.0000e+00 +5.0000e+00 +8.0000e+00 +4.0000e+00 +0.0000e+00 +1.0000e+01 +3.0000e+00 +0.0000e+00
39 +3.103424173e+02 +3.103424173e+02 +3.898224173e+02 +3.898224173e+02 +5.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +2.0000e+00 +4.0000e+00 +0.0000e+00 +9.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +2.0000e+00 +5.0000e+00 +1.0000e+00 +0.0000e+00 +7.0000e+00 +0.0000e+00 +0.0000e+00
43 +1.982160173e+02 +1.982160173e+02 +2.776960173e+02 +2.776960173e+02 +3.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +2.0000e+00 +0.0000e+00 +7.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +3.0000e+00 +0.0000e+00 +0.0000e+00 +5.0000e+00 +0.0000e+00 +0.0000e+00
47 +1.431600173e+02 +1.431600173e+02 +2.226400173e+02 +2.226400173e+02 +0.0000e+00 +1.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +5.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +1.0000e+00 +0.0000e+00 +0.0000e+00 +3.0000e+00 +0.0000e+00 +0.0000e+00
53 +9.329281728e+01 +9.329281728e+01 +1.727728173e+02 +1.727728173e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +2.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
