% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.726243217e+03 +6.726243217e+03 +6.805723217e+03 +6.805723217e+03 +3.0000e+00 +2.0000e+01 +2.2000e+01 +6.0000e+00 +1.1000e+01 +1.0000e+00 +2.4000e+01 +2.3000e+01 +2.9000e+01 +2.6000e+01 +9.0000e+00 +7.0000e+00 +1.0000e+01 +1.2000e+01 +1.8000e+01 +0.0000e+00 +2.2000e+01 +0.0000e+00 +3.0000e+01 +2.9000e+01
5 +6.104977617e+03 +6.104977617e+03 +6.184457617e+03 +6.184457617e+03 +3.0000e+00 +1.8000e+01 +2.1000e+01 +5.0000e+00 +1.0000e+01 +0.0000e+00 +2.3000e+01 +2.2000e+01 +2.8000e+01 +2.5000e+01 +8.0000e+00 +6.0000e+00 +9.0000e+00 +1.1000e+01 +1.7000e+01 +0.0000e+00 +2.1000e+01 +0.0000e+00 +2.9000e+01 +2.8000e+01
21 +3.979619217e+03 +3.979619217e+03 +4.059099217e+03 +4.059099217e+03 +8.0000e+00 +6.0000e+00 +1.7000e+01 +1.0000e+00 +6.0000e+00 +0.0000e+00 +1.9000e+01 +1.8000e+01 +2.4000e+01 +2.1000e+01 +4.0000e+00 +2.0000e+00 +5.0000e+00 +7.0000e+00 +1.3000e+01 +0.0000e+00 +1.7000e+01 +0.0000e+00 +2.5000e+01 +2.4000e+01
37 +2.483336017e+03 +2.483336017e+03 +2.562816017e+03 +2.562816017e+03 +2.0000e+00 +4.0000e+00 +1.3000e+01 +0.0000e+00 +2.0000e+00 +0.0000e+00 +1.5000e+01 +1.4000e+01 +2.0000e+01 +1.7000e+01 +0.0000e+00 +0.0000e+00 +1.0000e+00 +3.0000e+00 +9.0000e+00 +0.0000e+00 +1.3000e+01 +0.0000e+00 +2.1000e+01 +2.0000e+01
51 +1.564697617e+03 +1.564697617e+03 +1.644177617e+03 +1.644177617e+03 +9.0000e+00 +1.0000e+00 +0.0000e+00 +9.0000e+00 +0.0000e+00 +1.4000e+01 +9.0000e+00 +1.5000e+01 +0.0000e+00 +1.0000e+00 +1.4000e+01 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +1.6000e+01 +2.0000e+00 +3.0000e+00 +1.8000e+01
63 +9.877536173e+02 +9.877536173e+02 +1.067233617e+03 +1.067233617e+03 +6.0000e+00 +0.0000e+00 +0.0000e+00 +6.0000e+00 +0.0000e+00 +1.1000e+01 +6.0000e+00 +1.2000e+01 +0.0000e+00 +0.0000e+00 +1.1000e+01 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +1.3000e+01 +0.0000e+00 +0.0000e+00 +1.5000e+01
72 +6.042688173e+02 +6.042688173e+02 +6.837488173e+02 +6.837488173e+02 +0.0000e+00 +0.0000e+00 +3.0000e+00 +0.0000e+00 +4.0000e+00 +3.0000e+00 +1.1000e+01 +9.0000e+00 +1.0000e+00 +0.0000e+00 +5.0000e+00 +0.0000e+00 +0.0000e+00 +7.0000e+00 +1.2000e+01 +0.0000e+00 +0.0000e+00 +0.0000e+00 +1.1000e+01 +5.0000e+00
80 +3.618560173e+02 +3.618560173e+02 +4.413360173e+02 +4.413360173e+02 +0.0000e+00 +0.0000e+00 +1.0000e+00 +0.0000e+00 +2.0000e+00 +1.0000e+00 +9.0000e+00 +7.0000e+00 +0.0000e+00 +0.0000e+00 +3.0000e+00 +0.0000e+00 +0.0000e+00 +5.0000e+00 +1.0000e+01 +0.0000e+00 +0.0000e+00 +0.0000e+00 +9.0000e+00 +3.0000e+00
88 +2.022880173e+02 +2.022880173e+02 +2.817680173e+02 +2.817680173e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +7.0000e+00 +5.0000e+00 +0.0000e+00 +0.0000e+00 +1.0000e+00 +0.0000e+00 +0.0000e+00 +3.0000e+00 +8.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +7.0000e+00 +1.0000e+00
92 +1.521504173e+02 +1.521504173e+02 +2.316304173e+02 +2.316304173e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +6.0000e+00 +4.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +2.0000e+00 +7.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +6.0000e+00 +0.0000e+00
