% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.493731217e+03 +5.493731217e+03 +5.573211217e+03 +5.573211217e+03 +1.4000e+01 +1.1000e+01 +2.3000e+01 +1.3000e+01 +7.0000e+00 +1.4000e+01 +4.0000e+00 +2.0000e+01 +1.3000e+01 +1.4000e+01 +2.4000e+01 +3.0000e+00 +1.9000e+01 +1.3000e+01 +7.0000e+00 +1.8000e+01 +2.4000e+01 +1.0000e+01 +2.7000e+01 +2.1000e+01
9 +3.787798417e+03 +3.787798417e+03 +3.867278417e+03 +3.867278417e+03 +3.0000e+00 +1.2000e+01 +3.0000e+00 +1.8000e+01 +2.4000e+01 +2.0000e+00 +0.0000e+00 +0.0000e+00 +1.9000e+01 +0.0000e+00 +3.0000e+01 +3.0000e+00 +4.0000e+00 +8.0000e+00 +1.6000e+01 +1.2000e+01 +1.6000e+01 +7.0000e+00 +1.7000e+01 +1.3000e+01
251 +2.504272017e+03 +2.504272017e+03 +2.583752017e+03 +2.583752017e+03 +2.2000e+01 +1.2000e+01 +1.2000e+01 +9.0000e+00 +0.0000e+00 +5.0000e+00 +6.0000e+00 +1.0000e+00 +1.5000e+01 +9.0000e+00 +5.0000e+00 +1.0000e+00 +1.4000e+01 +1.4000e+01 +2.3000e+01 +9.0000e+00 +8.0000e+00 +4.0000e+00 +1.5000e+01 +5.0000e+00
% function evaluation | noise-free fitness - Fopt (3.944800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.334186082e+03 +5.334186082e+03 +5.728666082e+03 +5.728666082e+03 +1.0000e+00 +7.0000e+00 +0.0000e+00 +2.4000e+01 +1.7000e+01 +2.8000e+01 +3.0000e+00 +0.0000e+00 +2.6000e+01 +9.0000e+00 +1.0000e+01 +1.6000e+01 +2.4000e+01 +1.7000e+01 +1.8000e+01 +0.0000e+00 +1.2000e+01 +1.6000e+01 +2.7000e+01 +1.0000e+00
68 +3.462221282e+03 +3.462221282e+03 +3.856701282e+03 +3.856701282e+03 +1.1000e+01 +1.9000e+01 +1.1000e+01 +2.8000e+01 +0.0000e+00 +0.0000e+00 +7.0000e+00 +6.0000e+00 +8.0000e+00 +4.0000e+00 +1.7000e+01 +1.1000e+01 +1.0000e+00 +6.0000e+00 +1.0000e+00 +1.6000e+01 +1.5000e+01 +1.0000e+01 +1.9000e+01 +2.2000e+01
% function evaluation | noise-free fitness - Fopt (-2.471100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.734766996e+03 +5.734766996e+03 +5.487656996e+03 +5.487656996e+03 +1.0000e+01 +6.0000e+00 +9.0000e+00 +2.3000e+01 +1.0000e+01 +2.5000e+01 +2.6000e+01 +4.0000e+00 +1.9000e+01 +4.0000e+00 +3.0000e+01 +1.5000e+01 +1.3000e+01 +1.8000e+01 +0.0000e+00 +1.1000e+01 +2.0000e+01 +1.3000e+01 +2.4000e+01 +2.6000e+01
4 +3.588733396e+03 +3.588733396e+03 +3.341623396e+03 +3.341623396e+03 +1.6000e+01 +5.0000e+00 +1.6000e+01 +1.9000e+01 +6.0000e+00 +2.3000e+01 +1.6000e+01 +1.2000e+01 +1.0000e+00 +1.3000e+01 +0.0000e+00 +1.3000e+01 +2.0000e+01 +1.4000e+01 +3.0000e+00 +1.3000e+01 +1.3000e+01 +4.0000e+00 +2.2000e+01 +9.0000e+00
% function evaluation | noise-free fitness - Fopt (-1.520400000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.163487235e+03 +4.163487235e+03 +4.011447235e+03 +4.011447235e+03 +1.0000e+01 +4.0000e+00 +1.7000e+01 +9.0000e+00 +9.0000e+00 +1.9000e+01 +0.0000e+00 +7.0000e+00 +2.7000e+01 +9.0000e+00 +1.1000e+01 +1.9000e+01 +2.2000e+01 +8.0000e+00 +1.1000e+01 +2.8000e+01 +3.0000e+00 +5.0000e+00 +0.0000e+00 +2.1000e+01
19 +3.525136835e+03 +3.525136835e+03 +3.373096835e+03 +3.373096835e+03 +1.2000e+01 +2.0000e+01 +7.0000e+00 +5.0000e+00 +2.5000e+01 +1.1000e+01 +6.0000e+00 +1.7000e+01 +7.0000e+00 +2.2000e+01 +6.0000e+00 +1.2000e+01 +3.0000e+00 +1.1000e+01 +2.0000e+01 +2.0000e+00 +1.9000e+01 +8.0000e+00 +9.0000e+00 +2.3000e+01
484 +2.371791235e+03 +2.371791235e+03 +2.219751235e+03 +2.219751235e+03 +1.0000e+00 +6.0000e+00 +1.0000e+01 +3.0000e+00 +1.6000e+01 +1.0000e+00 +5.0000e+00 +1.1000e+01 +0.0000e+00 +1.0000e+01 +1.0000e+01 +2.0000e+01 +2.0000e+00 +2.4000e+01 +1.0000e+01 +7.0000e+00 +2.5000e+01 +1.0000e+00 +5.0000e+00 +3.0000e+00
% function evaluation | noise-free fitness - Fopt (-2.525000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.458321228e+03 +7.458321228e+03 +7.433071228e+03 +7.433071228e+03 +1.7000e+01 +1.0000e+00 +1.5000e+01 +2.8000e+01 +2.1000e+01 +2.6000e+01 +2.2000e+01 +1.2000e+01 +0.0000e+00 +2.4000e+01 +1.7000e+01 +2.7000e+01 +1.0000e+01 +8.0000e+00 +2.5000e+01 +2.7000e+01 +2.4000e+01 +9.0000e+00 +1.4000e+01 +1.8000e+01
4 +5.238614028e+03 +5.238614028e+03 +5.213364028e+03 +5.213364028e+03 +2.4000e+01 +3.1000e+01 +2.0000e+00 +1.7000e+01 +1.1000e+01 +0.0000e+00 +4.0000e+00 +6.0000e+00 +0.0000e+00 +1.0000e+01 +2.2000e+01 +9.0000e+00 +1.5000e+01 +2.1000e+01 +6.0000e+00 +2.9000e+01 +1.3000e+01 +2.7000e+01 +1.4000e+01 +0.0000e+00
12 +3.572730828e+03 +3.572730828e+03 +3.547480828e+03 +3.547480828e+03 +1.2000e+01 +1.0000e+00 +1.0000e+00 +8.0000e+00 +2.0000e+00 +1.9000e+01 +8.0000e+00 +2.1000e+01 +6.0000e+00 +1.0000e+01 +0.0000e+00 +2.6000e+01 +4.0000e+00 +1.2000e+01 +1.8000e+01 +2.6000e+01 +2.0000e+01 +6.0000e+00 +3.0000e+00 +0.0000e+00
485 +2.129761228e+03 +2.129761228e+03 +2.104511228e+03 +2.104511228e+03 +1.5000e+01 +4.0000e+00 +6.0000e+00 +1.1000e+01 +1.9000e+01 +4.0000e+00 +5.0000e+00 +0.0000e+00 +0.0000e+00 +1.8000e+01 +1.9000e+01 +2.0000e+00 +1.2000e+01 +1.2000e+01 +0.0000e+00 +0.0000e+00 +0.0000e+00 +8.0000e+00 +1.7000e+01 +3.0000e+00
% function evaluation | noise-free fitness - Fopt (2.230000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.281441783e+03 +6.281441783e+03 +6.283671783e+03 +6.283671783e+03 +2.7000e+01 +2.4000e+01 +5.0000e+00 +2.6000e+01 +2.4000e+01 +1.2000e+01 +8.0000e+00 +2.0000e+00 +0.0000e+00 +8.0000e+00 +7.0000e+00 +7.0000e+00 +4.0000e+00 +0.0000e+00 +2.8000e+01 +4.0000e+00 +2.9000e+01 +2.9000e+01 +1.9000e+01 +2.6000e+01
32 +3.899640183e+03 +3.899640183e+03 +3.901870183e+03 +3.901870183e+03 +1.4000e+01 +8.0000e+00 +5.0000e+00 +6.0000e+00 +2.7000e+01 +5.0000e+00 +1.1000e+01 +1.2000e+01 +8.0000e+00 +9.0000e+00 +1.0000e+00 +1.0000e+01 +2.5000e+01 +8.0000e+00 +7.0000e+00 +1.2000e+01 +5.0000e+00 +2.6000e+01 +1.5000e+01 +2.6000e+01
% function evaluation | noise-free fitness - Fopt (-1.308000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.100755347e+03 +4.100755347e+03 +4.087675347e+03 +4.087675347e+03 +2.0000e+01 +1.2000e+01 +7.0000e+00 +1.1000e+01 +1.7000e+01 +7.0000e+00 +1.7000e+01 +6.0000e+00 +1.6000e+01 +0.0000e+00 +1.5000e+01 +2.9000e+01 +2.4000e+01 +2.4000e+01 +1.5000e+01 +2.0000e+00 +3.0000e+00 +9.0000e+00 +5.0000e+00 +4.0000e+00
4 +3.688257747e+03 +3.688257747e+03 +3.675177747e+03 +3.675177747e+03 +1.0000e+00 +5.0000e+00 +3.0000e+00 +1.7000e+01 +1.6000e+01 +1.1000e+01 +6.0000e+00 +1.7000e+01 +1.4000e+01 +0.0000e+00 +4.0000e+00 +1.9000e+01 +3.0000e+01 +1.0000e+01 +1.0000e+01 +7.0000e+00 +1.5000e+01 +2.3000e+01 +1.4000e+01 +4.0000e+00
% function evaluation | noise-free fitness - Fopt (2.671600000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.684526584e+03 +7.684526584e+03 +7.951686584e+03 +7.951686584e+03 +8.0000e+00 +3.0000e+01 +1.4000e+01 +1.1000e+01 +2.6000e+01 +1.3000e+01 +1.8000e+01 +1.4000e+01 +1.3000e+01 +2.0000e+00 +2.4000e+01 +2.2000e+01 +2.0000e+01 +3.0000e+00 +2.4000e+01 +2.4000e+01 +2.7000e+01 +2.0000e+01 +1.0000e+01 +1.8000e+01
