% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.542195217e+03 +6.542195217e+03 +6.621675217e+03 +6.621675217e+03 +2.5000e+01 +0.0000e+00 +2.4000e+01 +2.0000e+00 +1.2000e+01 +1.5000e+01 +1.3000e+01 +2.3000e+01 +2.8000e+01 +5.0000e+00 +6.0000e+00 +1.0000e+01 +2.7000e+01 +6.0000e+00 +1.0000e+01 +2.0000e+01 +2.0000e+00 +2.4000e+01 +2.7000e+01 +2.7000e+01
2 +4.669888017e+03 +4.669888017e+03 +4.749368017e+03 +4.749368017e+03 +1.0000e+00 +1.4000e+01 +4.0000e+00 +9.0000e+00 +6.0000e+00 +2.0000e+00 +2.1000e+01 +2.7000e+01 +0.0000e+00 +3.0000e+00 +2.7000e+01 +1.2000e+01 +7.0000e+00 +1.0000e+00 +2.9000e+01 +2.0000e+01 +2.0000e+00 +1.6000e+01 +2.8000e+01 +1.0000e+00
22 +3.821419217e+03 +3.821419217e+03 +3.900899217e+03 +3.900899217e+03 +0.0000e+00 +1.2000e+01 +2.0000e+00 +7.0000e+00 +4.0000e+00 +0.0000e+00 +1.9000e+01 +2.5000e+01 +0.0000e+00 +1.0000e+00 +2.5000e+01 +1.0000e+01 +5.0000e+00 +0.0000e+00 +2.7000e+01 +1.8000e+01 +0.0000e+00 +1.4000e+01 +2.6000e+01 +0.0000e+00
62 +2.482070417e+03 +2.482070417e+03 +2.561550417e+03 +2.561550417e+03 +0.0000e+00 +8.0000e+00 +0.0000e+00 +3.0000e+00 +0.0000e+00 +0.0000e+00 +1.5000e+01 +2.1000e+01 +0.0000e+00 +0.0000e+00 +2.1000e+01 +6.0000e+00 +1.0000e+00 +0.0000e+00 +2.3000e+01 +1.4000e+01 +0.0000e+00 +1.0000e+01 +2.2000e+01 +0.0000e+00
102 +1.525795217e+03 +1.525795217e+03 +1.605275217e+03 +1.605275217e+03 +0.0000e+00 +4.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +1.1000e+01 +1.7000e+01 +0.0000e+00 +0.0000e+00 +1.7000e+01 +2.0000e+00 +0.0000e+00 +0.0000e+00 +1.9000e+01 +1.0000e+01 +0.0000e+00 +6.0000e+00 +1.8000e+01 +0.0000e+00
132 +9.897584173e+02 +9.897584173e+02 +1.069238417e+03 +1.069238417e+03 +0.0000e+00 +1.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +8.0000e+00 +1.4000e+01 +0.0000e+00 +0.0000e+00 +1.4000e+01 +0.0000e+00 +0.0000e+00 +0.0000e+00 +1.6000e+01 +7.0000e+00 +0.0000e+00 +3.0000e+00 +1.5000e+01 +0.0000e+00
158 +5.980928173e+02 +5.980928173e+02 +6.775728173e+02 +6.775728173e+02 +6.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +9.0000e+00 +0.0000e+00 +0.0000e+00 +9.0000e+00 +6.0000e+00 +0.0000e+00 +0.0000e+00 +5.0000e+00 +1.1000e+01 +4.0000e+00 +4.0000e+00 +1.3000e+01 +0.0000e+00 +0.0000e+00 +6.0000e+00 +4.0000e+00
178 +3.714816173e+02 +3.714816173e+02 +4.509616173e+02 +4.509616173e+02 +4.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +7.0000e+00 +0.0000e+00 +0.0000e+00 +7.0000e+00 +4.0000e+00 +0.0000e+00 +0.0000e+00 +3.0000e+00 +9.0000e+00 +2.0000e+00 +2.0000e+00 +1.1000e+01 +0.0000e+00 +0.0000e+00 +4.0000e+00 +2.0000e+00
198 +2.328704173e+02 +2.328704173e+02 +3.123504173e+02 +3.123504173e+02 +2.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +5.0000e+00 +0.0000e+00 +0.0000e+00 +5.0000e+00 +2.0000e+00 +0.0000e+00 +0.0000e+00 +1.0000e+00 +7.0000e+00 +0.0000e+00 +0.0000e+00 +9.0000e+00 +0.0000e+00 +0.0000e+00 +2.0000e+00 +0.0000e+00
% function evaluation | noise-free fitness - Fopt (3.944800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
