% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.272011217e+03 +5.272011217e+03 +5.351491217e+03 +5.351491217e+03 +2.5000e+01 +9.0000e+00 +2.3000e+01 +4.0000e+00 +5.0000e+00 +0.0000e+00 +2.0000e+01 +1.2000e+01 +1.4000e+01 +3.0000e+00 +1.4000e+01 +2.2000e+01 +2.7000e+01 +1.9000e+01 +1.4000e+01 +1.4000e+01 +2.7000e+01 +3.0000e+00 +1.0000e+01 +1.8000e+01
10 +3.826691217e+03 +3.826691217e+03 +3.906171217e+03 +3.906171217e+03 +1.4000e+01 +3.0000e+00 +2.3000e+01 +7.0000e+00 +1.1000e+01 +0.0000e+00 +1.0000e+00 +2.0000e+00 +3.0000e+01 +1.6000e+01 +1.4000e+01 +7.0000e+00 +3.0000e+00 +1.9000e+01 +1.6000e+01 +1.2000e+01 +1.4000e+01 +9.0000e+00 +1.5000e+01 +3.0000e+00
479 +2.107908817e+03 +2.107908817e+03 +2.187388817e+03 +2.187388817e+03 +0.0000e+00 +4.0000e+00 +1.3000e+01 +4.0000e+00 +0.0000e+00 +4.0000e+00 +0.0000e+00 +1.2000e+01 +6.0000e+00 +8.0000e+00 +2.2000e+01 +1.7000e+01 +9.0000e+00 +1.9000e+01 +1.6000e+01 +6.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +8.0000e+00
% function evaluation | noise-free fitness - Fopt (3.944800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.920406882e+03 +7.920406882e+03 +8.314886882e+03 +8.314886882e+03 +2.9000e+01 +2.8000e+01 +8.0000e+00 +2.0000e+01 +2.0000e+01 +1.8000e+01 +2.0000e+00 +2.7000e+01 +1.1000e+01 +2.3000e+01 +8.0000e+00 +1.5000e+01 +1.0000e+00 +1.6000e+01 +1.0000e+01 +3.0000e+01 +2.5000e+01 +2.9000e+01 +8.0000e+00 +2.0000e+00
3 +5.348288482e+03 +5.348288482e+03 +5.742768482e+03 +5.742768482e+03 +2.0000e+00 +0.0000e+00 +2.8000e+01 +6.0000e+00 +2.7000e+01 +2.3000e+01 +2.1000e+01 +1.0000e+01 +0.0000e+00 +1.4000e+01 +3.0000e+00 +1.0000e+01 +2.5000e+01 +1.4000e+01 +0.0000e+00 +1.2000e+01 +1.2000e+01 +1.4000e+01 +2.3000e+01 +2.1000e+01
80 +3.233733282e+03 +3.233733282e+03 +3.628213282e+03 +3.628213282e+03 +1.0000e+00 +1.0000e+01 +4.0000e+00 +1.6000e+01 +1.9000e+01 +7.0000e+00 +2.1000e+01 +1.5000e+01 +1.7000e+01 +2.0000e+00 +7.0000e+00 +1.6000e+01 +0.0000e+00 +2.5000e+01 +9.0000e+00 +1.4000e+01 +1.3000e+01 +5.0000e+00 +1.5000e+01 +4.0000e+00
173 +2.201429282e+03 +2.201429282e+03 +2.595909282e+03 +2.595909282e+03 +1.2000e+01 +1.7000e+01 +4.0000e+00 +9.0000e+00 +1.4000e+01 +1.1000e+01 +1.2000e+01 +0.0000e+00 +1.0000e+00 +1.0000e+01 +8.0000e+00 +1.0000e+00 +8.0000e+00 +1.0000e+01 +2.0000e+00 +2.0000e+01 +3.0000e+00 +4.0000e+00 +4.0000e+00 +1.9000e+01
% function evaluation | noise-free fitness - Fopt (-2.471100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.232814996e+03 +7.232814996e+03 +6.985704996e+03 +6.985704996e+03 +2.2000e+01 +9.0000e+00 +2.0000e+00 +1.2000e+01 +7.0000e+00 +2.4000e+01 +1.5000e+01 +2.7000e+01 +4.0000e+00 +2.0000e+01 +3.0000e+01 +2.0000e+01 +3.0000e+01 +2.2000e+01 +4.0000e+00 +1.8000e+01 +2.9000e+01 +6.0000e+00 +1.3000e+01 +2.9000e+01
