% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.399323217e+03 +5.399323217e+03 +5.478803217e+03 +5.478803217e+03 +2.7000e+01 +1.8000e+01 +0.0000e+00 +2.7000e+01 +2.0000e+00 +2.7000e+01 +2.0000e+01 +1.3000e+01 +8.0000e+00 +2.7000e+01 +0.0000e+00 +0.0000e+00 +1.4000e+01 +1.3000e+01 +2.7000e+01 +6.0000e+00 +8.0000e+00 +4.0000e+00 +0.0000e+00 +2.0000e+01
8 +3.596737617e+03 +3.596737617e+03 +3.676217617e+03 +3.676217617e+03 +1.2000e+01 +8.0000e+00 +0.0000e+00 +1.2000e+01 +6.0000e+00 +1.2000e+01 +1.5000e+01 +1.0000e+00 +2.3000e+01 +2.3000e+01 +0.0000e+00 +1.1000e+01 +1.2000e+01 +1.1000e+01 +2.3000e+01 +8.0000e+00 +2.3000e+01 +0.0000e+00 +1.1000e+01 +1.5000e+01
237 +2.274950417e+03 +2.274950417e+03 +2.354430417e+03 +2.354430417e+03 +7.0000e+00 +4.0000e+00 +7.0000e+00 +7.0000e+00 +6.0000e+00 +7.0000e+00 +1.4000e+01 +4.0000e+00 +1.6000e+01 +1.2000e+01 +7.0000e+00 +0.0000e+00 +1.6000e+01 +9.0000e+00 +1.2000e+01 +1.0000e+00 +1.6000e+01 +1.4000e+01 +0.0000e+00 +1.4000e+01
% function evaluation | noise-free fitness - Fopt (3.944800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.547789282e+03 +7.547789282e+03 +7.942269282e+03 +7.942269282e+03 +6.0000e+00 +2.6000e+01 +9.0000e+00 +1.0000e+01 +1.0000e+01 +2.9000e+01 +1.0000e+01 +1.0000e+01 +2.9000e+01 +3.0000e+01 +2.5000e+01 +4.0000e+00 +1.0000e+01 +9.0000e+00 +2.6000e+01 +7.0000e+00 +2.5000e+01 +2.5000e+01 +7.0000e+00 +9.0000e+00
2 +5.691206882e+03 +5.691206882e+03 +6.085686882e+03 +6.085686882e+03 +2.3000e+01 +1.7000e+01 +4.0000e+00 +1.3000e+01 +9.0000e+00 +2.3000e+01 +9.0000e+00 +9.0000e+00 +2.3000e+01 +2.3000e+01 +1.6000e+01 +0.0000e+00 +9.0000e+00 +5.0000e+00 +2.2000e+01 +2.0000e+01 +1.6000e+01 +1.6000e+01 +2.0000e+01 +5.0000e+00
5 +3.718638882e+03 +3.718638882e+03 +4.113118882e+03 +4.113118882e+03 +0.0000e+00 +1.0000e+00 +0.0000e+00 +1.0000e+00 +2.0000e+00 +2.5000e+01 +2.0000e+00 +2.0000e+00 +2.5000e+01 +0.0000e+00 +1.9000e+01 +2.0000e+00 +2.0000e+00 +1.3000e+01 +2.2000e+01 +9.0000e+00 +1.9000e+01 +1.9000e+01 +9.0000e+00 +1.3000e+01
36 +1.893315682e+03 +1.893315682e+03 +2.287795682e+03 +2.287795682e+03 +1.6000e+01 +6.0000e+00 +1.9000e+01 +6.0000e+00 +7.0000e+00 +7.0000e+00 +7.0000e+00 +7.0000e+00 +7.0000e+00 +0.0000e+00 +4.0000e+00 +1.1000e+01 +7.0000e+00 +2.0000e+00 +1.1000e+01 +1.1000e+01 +4.0000e+00 +4.0000e+00 +1.1000e+01 +2.0000e+00
372 +1.462186082e+03 +1.462186082e+03 +1.856666082e+03 +1.856666082e+03 +6.0000e+00 +1.3000e+01 +6.0000e+00 +2.2000e+01 +1.0000e+00 +2.0000e+00 +1.0000e+00 +1.0000e+00 +2.0000e+00 +1.4000e+01 +0.0000e+00 +1.6000e+01 +1.0000e+00 +8.0000e+00 +2.0000e+00 +1.0000e+00 +0.0000e+00 +0.0000e+00 +1.0000e+00 +8.0000e+00
% function evaluation | noise-free fitness - Fopt (-2.471100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.029933396e+03 +6.029933396e+03 +5.782823396e+03 +5.782823396e+03 +2.0000e+00 +6.0000e+00 +2.5000e+01 +2.5000e+01 +7.0000e+00 +9.0000e+00 +2.2000e+01 +6.0000e+00 +2.2000e+01 +2.8000e+01 +2.5000e+01 +1.9000e+01 +2.2000e+01 +2.6000e+01 +1.9000e+01 +9.0000e+00 +2.2000e+01 +0.0000e+00 +1.7000e+01 +8.0000e+00
24 +3.503536596e+03 +3.503536596e+03 +3.256426596e+03 +3.256426596e+03 +3.0000e+00 +1.4000e+01 +1.0000e+01 +5.0000e+00 +2.1000e+01 +1.8000e+01 +2.1000e+01 +1.4000e+01 +2.1000e+01 +4.0000e+00 +5.0000e+00 +1.4000e+01 +4.0000e+00 +1.0000e+01 +1.4000e+01 +1.8000e+01 +2.1000e+01 +9.0000e+00 +1.2000e+01 +3.0000e+00
70 +2.355379796e+03 +2.355379796e+03 +2.108269796e+03 +2.108269796e+03 +1.2000e+01 +0.0000e+00 +5.0000e+00 +1.5000e+01 +0.0000e+00 +1.0000e+00 +2.5000e+01 +0.0000e+00 +9.0000e+00 +0.0000e+00 +1.5000e+01 +0.0000e+00 +2.0000e+00 +1.5000e+01 +0.0000e+00 +1.0000e+00 +9.0000e+00 +7.0000e+00 +0.0000e+00 +2.6000e+01
91 +1.468958996e+03 +1.468958996e+03 +1.221848996e+03 +1.221848996e+03 +1.4000e+01 +0.0000e+00 +8.0000e+00 +1.0000e+00 +6.0000e+00 +1.6000e+01 +1.8000e+01 +0.0000e+00 +8.0000e+00 +4.0000e+00 +1.0000e+00 +0.0000e+00 +7.0000e+00 +7.0000e+00 +0.0000e+00 +1.6000e+01 +8.0000e+00 +7.0000e+00 +3.0000e+00 +1.0000e+01
% function evaluation | noise-free fitness - Fopt (-1.520400000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.915090435e+03 +4.915090435e+03 +4.763050435e+03 +4.763050435e+03 +1.0000e+01 +8.0000e+00 +9.0000e+00 +2.3000e+01 +8.0000e+00 +2.0000e+00 +2.0000e+01 +1.0000e+01 +9.0000e+00 +2.0000e+01 +9.0000e+00 +8.0000e+00 +2.0000e+00 +2.2000e+01 +1.4000e+01 +2.7000e+01 +2.7000e+01 +1.4000e+01 +2.8000e+01 +2.0000e+01
15 +3.447909635e+03 +3.447909635e+03 +3.295869635e+03 +3.295869635e+03 +8.0000e+00 +1.3000e+01 +8.0000e+00 +3.0000e+00 +1.3000e+01 +2.2000e+01 +1.7000e+01 +8.0000e+00 +8.0000e+00 +1.7000e+01 +2.5000e+01 +1.3000e+01 +2.2000e+01 +9.0000e+00 +5.0000e+00 +7.0000e+00 +7.0000e+00 +5.0000e+00 +3.0000e+00 +1.7000e+01
25 +1.308058435e+03 +1.308058435e+03 +1.156018435e+03 +1.156018435e+03 +3.0000e+00 +2.0000e+00 +6.0000e+00 +4.0000e+00 +2.0000e+00 +5.0000e+00 +1.9000e+01 +3.0000e+00 +6.0000e+00 +1.9000e+01 +7.0000e+00 +2.0000e+00 +5.0000e+00 +0.0000e+00 +0.0000e+00 +8.0000e+00 +8.0000e+00 +0.0000e+00 +4.0000e+00 +1.9000e+01
% function evaluation | noise-free fitness - Fopt (-2.525000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.814745228e+03 +5.814745228e+03 +5.789495228e+03 +5.789495228e+03 +6.0000e+00 +2.0000e+01 +1.2000e+01 +0.0000e+00 +2.7000e+01 +3.0000e+01 +3.0000e+00 +1.2000e+01 +1.8000e+01 +1.6000e+01 +2.1000e+01 +6.0000e+00 +1.3000e+01 +1.6000e+01 +2.8000e+01 +1.3000e+01 +1.8000e+01 +7.0000e+00 +6.0000e+00 +2.7000e+01
