% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.071924817e+03 +4.071924817e+03 +4.151404817e+03 +4.151404817e+03 +1.3000e+01 +9.0000e+00 +0.0000e+00 +6.0000e+00 +1.4000e+01 +4.0000e+00 +1.9000e+01 +9.0000e+00 +1.0000e+01 +8.0000e+00 +1.7000e+01 +2.2000e+01 +1.0000e+01 +2.9000e+01 +8.0000e+00 +1.7000e+01 +2.0000e+00 +1.9000e+01 +1.7000e+01 +1.0000e+01
2 +3.877446417e+03 +3.877446417e+03 +3.956926417e+03 +3.956926417e+03 +0.0000e+00 +1.2000e+01 +1.1000e+01 +1.5000e+01 +8.0000e+00 +2.1000e+01 +0.0000e+00 +7.0000e+00 +1.5000e+01 +1.8000e+01 +1.4000e+01 +2.4000e+01 +2.2000e+01 +2.8000e+01 +0.0000e+00 +8.0000e+00 +0.0000e+00 +0.0000e+00 +1.0000e+00 +4.0000e+00
73 +2.423758417e+03 +2.423758417e+03 +2.503238417e+03 +2.503238417e+03 +2.2000e+01 +2.0000e+00 +1.9000e+01 +1.0000e+00 +0.0000e+00 +1.2000e+01 +1.1000e+01 +9.0000e+00 +1.2000e+01 +1.0000e+00 +0.0000e+00 +2.3000e+01 +5.0000e+00 +2.0000e+00 +1.6000e+01 +1.1000e+01 +0.0000e+00 +2.0000e+00 +1.9000e+01 +2.0000e+00
% function evaluation | noise-free fitness - Fopt (3.944800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.916510882e+03 +5.916510882e+03 +6.310990882e+03 +6.310990882e+03 +2.4000e+01 +1.7000e+01 +1.5000e+01 +0.0000e+00 +1.3000e+01 +5.0000e+00 +1.8000e+01 +1.0000e+01 +1.3000e+01 +8.0000e+00 +6.0000e+00 +2.3000e+01 +1.5000e+01 +9.0000e+00 +2.1000e+01 +2.0000e+01 +2.9000e+01 +1.0000e+00 +1.5000e+01 +2.7000e+01
37 +3.901962082e+03 +3.901962082e+03 +4.296442082e+03 +4.296442082e+03 +0.0000e+00 +2.0000e+01 +0.0000e+00 +1.0000e+00 +2.9000e+01 +1.5000e+01 +0.0000e+00 +1.7000e+01 +5.0000e+00 +1.2000e+01 +2.9000e+01 +2.2000e+01 +5.0000e+00 +9.0000e+00 +0.0000e+00 +1.2000e+01 +1.1000e+01 +1.0000e+01 +0.0000e+00 +0.0000e+00
183 +2.419722082e+03 +2.419722082e+03 +2.814202082e+03 +2.814202082e+03 +2.0000e+00 +4.0000e+00 +1.1000e+01 +2.1000e+01 +0.0000e+00 +0.0000e+00 +3.0000e+00 +4.0000e+00 +2.5000e+01 +0.0000e+00 +6.0000e+00 +7.0000e+00 +8.0000e+00 +9.0000e+00 +1.9000e+01 +0.0000e+00 +1.1000e+01 +0.0000e+00 +1.4000e+01 +1.0000e+01
% function evaluation | noise-free fitness - Fopt (-2.471100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.087637396e+03 +7.087637396e+03 +6.840527396e+03 +6.840527396e+03 +1.5000e+01 +5.0000e+00 +1.3000e+01 +2.6000e+01 +1.6000e+01 +5.0000e+00 +1.9000e+01 +2.2000e+01 +1.6000e+01 +2.2000e+01 +3.0000e+00 +2.6000e+01 +3.0000e+00 +1.7000e+01 +2.9000e+01 +9.0000e+00 +2.4000e+01 +2.3000e+01 +2.8000e+01 +2.3000e+01
2 +5.346672596e+03 +5.346672596e+03 +5.099562596e+03 +5.099562596e+03 +1.1000e+01 +5.0000e+00 +2.9000e+01 +3.0000e+00 +1.3000e+01 +2.4000e+01 +1.7000e+01 +1.9000e+01 +2.2000e+01 +1.0000e+01 +6.0000e+00 +2.0000e+00 +7.0000e+00 +1.6000e+01 +2.6000e+01 +8.0000e+00 +2.6000e+01 +1.5000e+01 +7.0000e+00 +2.5000e+01
