% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.700611217e+03 +4.700611217e+03 +4.780091217e+03 +4.780091217e+03 +2.0000e+00 +2.6000e+01 +1.5000e+01 +1.3000e+01 +1.0000e+01 +1.8000e+01 +1.7000e+01 +3.0000e+00 +1.8000e+01 +1.7000e+01 +1.8000e+01 +0.0000e+00 +1.7000e+01 +4.0000e+00 +1.8000e+01 +0.0000e+00 +3.0000e+01 +4.0000e+00 +4.0000e+00 +1.1000e+01
26 +3.030425617e+03 +3.030425617e+03 +3.109905617e+03 +3.109905617e+03 +0.0000e+00 +9.0000e+00 +2.0000e+00 +1.6000e+01 +1.6000e+01 +9.0000e+00 +1.7000e+01 +2.0000e+00 +1.6000e+01 +0.0000e+00 +1.6000e+01 +2.0000e+00 +1.7000e+01 +1.7000e+01 +8.0000e+00 +1.7000e+01 +1.6000e+01 +0.0000e+00 +0.0000e+00 +1.7000e+01
57 +1.718892817e+03 +1.718892817e+03 +1.798372817e+03 +1.798372817e+03 +6.0000e+00 +0.0000e+00 +0.0000e+00 +6.0000e+00 +6.0000e+00 +6.0000e+00 +1.3000e+01 +1.3000e+01 +2.1000e+01 +1.3000e+01 +0.0000e+00 +0.0000e+00 +1.3000e+01 +1.3000e+01 +0.0000e+00 +2.0000e+00 +0.0000e+00 +5.0000e+00 +0.0000e+00 +6.0000e+00
72 +1.577712017e+03 +1.577712017e+03 +1.657192017e+03 +1.657192017e+03 +1.5000e+01 +6.0000e+00 +6.0000e+00 +6.0000e+00 +7.0000e+00 +7.0000e+00 +6.0000e+00 +6.0000e+00 +7.0000e+00 +1.4000e+01 +1.1000e+01 +4.0000e+00 +7.0000e+00 +1.4000e+01 +7.0000e+00 +6.0000e+00 +6.0000e+00 +7.0000e+00 +0.0000e+00 +7.0000e+00
77 +3.144800173e+02 +3.144800173e+02 +3.939600173e+02 +3.939600173e+02 +5.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +5.0000e+00 +5.0000e+00 +0.0000e+00 +0.0000e+00 +5.0000e+00 +0.0000e+00 +1.0000e+00 +0.0000e+00 +5.0000e+00 +0.0000e+00 +5.0000e+00 +0.0000e+00 +0.0000e+00 +5.0000e+00 +5.0000e+00 +5.0000e+00
97 +2.152000173e+02 +2.152000173e+02 +2.946800173e+02 +2.946800173e+02 +0.0000e+00 +4.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +4.0000e+00 +4.0000e+00 +0.0000e+00 +4.0000e+00 +0.0000e+00 +4.0000e+00 +0.0000e+00 +0.0000e+00 +4.0000e+00 +0.0000e+00 +4.0000e+00 +0.0000e+00
% function evaluation | noise-free fitness - Fopt (3.944800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.269981282e+03 +6.269981282e+03 +6.664461282e+03 +6.664461282e+03 +2.0000e+01 +2.8000e+01 +1.3000e+01 +6.0000e+00 +6.0000e+00 +2.6000e+01 +2.6000e+01 +1.3000e+01 +0.0000e+00 +2.8000e+01 +2.8000e+01 +1.3000e+01 +1.4000e+01 +1.1000e+01 +8.0000e+00 +6.0000e+00 +1.1000e+01 +2.0000e+01 +8.0000e+00 +4.0000e+00
12 +3.680152482e+03 +3.680152482e+03 +4.074632482e+03 +4.074632482e+03 +1.0000e+00 +0.0000e+00 +3.0000e+00 +1.7000e+01 +1.7000e+01 +1.0000e+01 +2.2000e+01 +3.0000e+00 +2.0000e+00 +1.0000e+00 +1.0000e+00 +3.0000e+00 +2.2000e+01 +2.4000e+01 +2.0000e+00 +1.7000e+01 +2.4000e+01 +0.0000e+00 +2.0000e+00 +3.0000e+01
52 +1.718538082e+03 +1.718538082e+03 +2.113018082e+03 +2.113018082e+03 +2.0000e+01 +2.0000e+00 +0.0000e+00 +1.5000e+01 +1.5000e+01 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +2.2000e+01 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +1.5000e+01 +0.0000e+00 +1.0000e+00
72 +1.022963682e+03 +1.022963682e+03 +1.417443682e+03 +1.417443682e+03 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +1.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +2.1000e+01 +0.0000e+00 +1.4000e+01 +1.0000e+00 +0.0000e+00 +0.0000e+00
% function evaluation | noise-free fitness - Fopt (-2.471100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.975134996e+03 +5.975134996e+03 +5.728024996e+03 +5.728024996e+03 +1.1000e+01 +1.5000e+01 +2.0000e+01 +2.2000e+01 +1.4000e+01 +2.6000e+01 +2.2000e+01 +2.0000e+01 +1.6000e+01 +1.9000e+01 +2.6000e+01 +1.9000e+01 +8.0000e+00 +2.0000e+01 +1.4000e+01 +3.0000e+00 +1.2000e+01 +1.2000e+01 +1.5000e+01 +2.0000e+01
5 +2.910997396e+03 +2.910997396e+03 +2.663887396e+03 +2.663887396e+03 +1.3000e+01 +5.0000e+00 +0.0000e+00 +3.0000e+00 +1.9000e+01 +1.4000e+01 +0.0000e+00 +0.0000e+00 +2.3000e+01 +3.0000e+00 +1.4000e+01 +3.0000e+00 +1.9000e+01 +0.0000e+00 +1.9000e+01 +1.1000e+01 +4.0000e+00 +2.5000e+01 +5.0000e+00 +0.0000e+00
15 +1.981382996e+03 +1.981382996e+03 +1.734272996e+03 +1.734272996e+03 +2.0000e+00 +2.1000e+01 +2.0000e+00 +1.6000e+01 +4.0000e+00 +1.0000e+01 +6.0000e+00 +2.0000e+00 +0.0000e+00 +8.0000e+00 +1.0000e+01 +8.0000e+00 +2.0000e+00 +2.0000e+00 +4.0000e+00 +6.0000e+00 +1.4000e+01 +1.8000e+01 +2.1000e+01 +2.0000e+00
35 +1.336389396e+03 +1.336389396e+03 +1.089279396e+03 +1.089279396e+03 +0.0000e+00 +1.0000e+00 +9.0000e+00 +5.0000e+00 +1.3000e+01 +3.0000e+00 +1.0000e+00 +1.7000e+01 +9.0000e+00 +1.3000e+01 +1.0000e+00 +1.0000e+00 +1.5000e+01 +1.0000e+00 +7.0000e+00 +5.0000e+00 +1.0000e+00 +7.0000e+00 +5.0000e+00 +5.0000e+00
55 +6.827413958e+02 +6.827413958e+02 +4.356313958e+02 +4.356313958e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +6.0000e+00 +0.0000e+00 +8.0000e+00 +1.2000e+01 +0.0000e+00 +8.0000e+00 +8.0000e+00 +1.6000e+01 +8.0000e+00 +0.0000e+00 +0.0000e+00 +1.2000e+01 +4.0000e+00 +0.0000e+00 +4.0000e+00 +4.0000e+00 +2.0000e+00
68 +6.157237958e+02 +6.157237958e+02 +3.686137958e+02 +3.686137958e+02 +1.0000e+00 +0.0000e+00 +8.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +8.0000e+00 +0.0000e+00 +9.0000e+00 +8.0000e+00 +8.0000e+00 +1.3000e+01 +1.3000e+01 +0.0000e+00 +0.0000e+00 +1.0000e+00 +1.0000e+00 +0.0000e+00 +0.0000e+00 +7.0000e+00
175 +1.207301958e+02 +1.207301958e+02 -1.263798042e+02 -1.263798042e+02 +1.0000e+00 +1.0000e+00 +2.0000e+00 +0.0000e+00 +1.0000e+00 +2.0000e+00 +1.0000e+00 +1.0000e+00 +1.0000e+00 +1.0000e+00 +1.0000e+00 +2.0000e+00 +1.0000e+00 +0.0000e+00 +1.0000e+00 +1.0000e+00 +1.0000e+00 +2.0000e+00 +1.0000e+00 +1.0000e+00
% function evaluation | noise-free fitness - Fopt (-1.520400000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.139524035e+03 +7.139524035e+03 +6.987484035e+03 +6.987484035e+03 +3.0000e+00 +2.4000e+01 +2.9000e+01 +1.3000e+01 +1.9000e+01 +8.0000e+00 +2.8000e+01 +2.5000e+01 +1.3000e+01 +5.0000e+00 +1.3000e+01 +1.1000e+01 +2.7000e+01 +5.0000e+00 +2.5000e+01 +1.3000e+01 +2.8000e+01 +1.6000e+01 +8.0000e+00 +2.4000e+01
2 +5.138500035e+03 +5.138500035e+03 +4.986460035e+03 +4.986460035e+03 +1.8000e+01 +1.7000e+01 +4.0000e+00 +0.0000e+00 +1.8000e+01 +1.9000e+01 +1.4000e+01 +2.1000e+01 +0.0000e+00 +2.5000e+01 +0.0000e+00 +2.5000e+01 +8.0000e+00 +2.5000e+01 +2.1000e+01 +0.0000e+00 +1.4000e+01 +2.1000e+01 +1.9000e+01 +2.0000e+00
8 +3.823376835e+03 +3.823376835e+03 +3.671336835e+03 +3.671336835e+03 +6.0000e+00 +1.3000e+01 +1.7000e+01 +1.1000e+01 +6.0000e+00 +1.9000e+01 +8.0000e+00 +2.2000e+01 +1.1000e+01 +1.6000e+01 +1.1000e+01 +1.4000e+01 +6.0000e+00 +1.6000e+01 +2.2000e+01 +1.1000e+01 +8.0000e+00 +1.7000e+01 +1.9000e+01 +9.0000e+00
51 +2.439220035e+03 +2.439220035e+03 +2.287180035e+03 +2.287180035e+03 +1.1000e+01 +0.0000e+00 +1.9000e+01 +1.9000e+01 +1.9000e+01 +0.0000e+00 +0.0000e+00 +1.9000e+01 +0.0000e+00 +1.1000e+01 +0.0000e+00 +1.9000e+01 +1.0000e+01 +1.0000e+01 +0.0000e+00 +0.0000e+00 +0.0000e+00 +1.0000e+01 +0.0000e+00 +0.0000e+00
73 +1.185949635e+03 +1.185949635e+03 +1.033909635e+03 +1.033909635e+03 +0.0000e+00 +0.0000e+00 +1.8000e+01 +1.0000e+00 +0.0000e+00 +1.7000e+01 +1.1000e+01 +1.1000e+01 +9.0000e+00 +6.0000e+00 +1.0000e+00 +0.0000e+00 +1.0000e+00 +1.0000e+00 +0.0000e+00 +1.0000e+00 +6.0000e+00 +0.0000e+00 +0.0000e+00 +1.0000e+00
140 +6.176344352e+02 +6.176344352e+02 +4.655944352e+02 +4.655944352e+02 +2.0000e+00 +0.0000e+00 +0.0000e+00 +8.0000e+00 +1.6000e+01 +1.2000e+01 +0.0000e+00 +0.0000e+00 +1.0000e+01 +3.0000e+00 +8.0000e+00 +2.0000e+00 +0.0000e+00 +2.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +1.1000e+01
% function evaluation | noise-free fitness - Fopt (-2.525000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.741487628e+03 +5.741487628e+03 +5.716237628e+03 +5.716237628e+03 +1.2000e+01 +1.3000e+01 +1.0000e+00 +6.0000e+00 +1.0000e+00 +1.0000e+00 +2.0000e+01 +2.1000e+01 +8.0000e+00 +9.0000e+00 +2.1000e+01 +2.5000e+01 +1.7000e+01 +1.2000e+01 +2.1000e+01 +2.6000e+01 +2.1000e+01 +2.2000e+01 +6.0000e+00 +2.6000e+01
4 +2.991503628e+03 +2.991503628e+03 +2.966253628e+03 +2.966253628e+03 +3.0000e+00 +8.0000e+00 +2.6000e+01 +1.6000e+01 +2.6000e+01 +1.8000e+01 +6.0000e+00 +0.0000e+00 +9.0000e+00 +7.0000e+00 +0.0000e+00 +6.0000e+00 +0.0000e+00 +1.1000e+01 +0.0000e+00 +1.0000e+00 +0.0000e+00 +1.8000e+01 +1.6000e+01 +1.0000e+00
6 +1.219186828e+03 +1.219186828e+03 +1.193936828e+03 +1.193936828e+03 +6.0000e+00 +4.0000e+00 +1.2000e+01 +1.0000e+00 +1.2000e+01 +6.0000e+00 +4.0000e+00 +9.0000e+00 +6.0000e+00 +0.0000e+00 +9.0000e+00 +1.9000e+01 +4.0000e+00 +6.0000e+00 +9.0000e+00 +3.0000e+00 +9.0000e+00 +9.0000e+00 +1.0000e+00 +3.0000e+00
26 +8.336828282e+02 +8.336828282e+02 +8.084328282e+02 +8.084328282e+02 +1.0000e+01 +1.6000e+01 +0.0000e+00 +2.0000e+00 +3.0000e+00 +8.0000e+00 +2.0000e+00 +2.0000e+00 +8.0000e+00 +8.0000e+00 +5.0000e+00 +8.0000e+00 +0.0000e+00 +0.0000e+00 +1.1000e+01 +0.0000e+00 +5.0000e+00 +0.0000e+00 +5.0000e+00 +8.0000e+00
66 +5.332924282e+02 +5.332924282e+02 +5.080424282e+02 +5.080424282e+02 +0.0000e+00 +0.0000e+00 +1.4000e+01 +0.0000e+00 +0.0000e+00 +6.0000e+00 +0.0000e+00 +0.0000e+00 +3.0000e+00 +6.0000e+00 +9.0000e+00 +0.0000e+00 +3.0000e+00 +0.0000e+00 +3.0000e+00 +0.0000e+00 +3.0000e+00 +6.0000e+00 +0.0000e+00 +0.0000e+00
187 +7.272282816e+01 +7.272282816e+01 +4.747282816e+01 +4.747282816e+01 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +2.0000e+00 +1.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
% function evaluation | noise-free fitness - Fopt (2.230000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.013598583e+03 +8.013598583e+03 +8.015828583e+03 +8.015828583e+03 +1.3000e+01 +8.0000e+00 +1.5000e+01 +1.7000e+01 +3.0000e+01 +1.6000e+01 +1.7000e+01 +9.0000e+00 +2.0000e+01 +2.6000e+01 +2.9000e+01 +2.6000e+01 +2.9000e+01 +3.0000e+01 +1.1000e+01 +3.0000e+00 +8.0000e+00 +1.5000e+01 +3.0000e+01 +0.0000e+00
2 +5.749344183e+03 +5.749344183e+03 +5.751574183e+03 +5.751574183e+03 +2.4000e+01 +7.0000e+00 +1.6000e+01 +1.3000e+01 +2.9000e+01 +2.0000e+01 +1.3000e+01 +1.4000e+01 +4.0000e+00 +5.0000e+00 +1.6000e+01 +5.0000e+00 +1.6000e+01 +2.4000e+01 +6.0000e+00 +5.0000e+00 +2.3000e+01 +1.6000e+01 +2.4000e+01 +2.6000e+01
13 +3.600704183e+03 +3.600704183e+03 +3.602934183e+03 +3.602934183e+03 +7.0000e+00 +6.0000e+00 +2.0000e+01 +1.0000e+00 +0.0000e+00 +1.4000e+01 +1.0000e+00 +5.0000e+00 +2.0000e+00 +1.0000e+00 +2.5000e+01 +1.0000e+00 +2.5000e+01 +7.0000e+00 +2.1000e+01 +1.4000e+01 +6.0000e+00 +2.0000e+01 +7.0000e+00 +1.5000e+01
19 +2.493393783e+03 +2.493393783e+03 +2.495623783e+03 +2.495623783e+03 +2.0000e+00 +1.7000e+01 +2.0000e+00 +9.0000e+00 +1.5000e+01 +8.0000e+00 +9.0000e+00 +1.2000e+01 +1.7000e+01 +5.0000e+00 +9.0000e+00 +5.0000e+00 +9.0000e+00 +1.8000e+01 +7.0000e+00 +3.0000e+00 +1.0000e+00 +2.0000e+00 +1.8000e+01 +1.2000e+01
59 +1.421068983e+03 +1.421068983e+03 +1.423298983e+03 +1.423298983e+03 +7.0000e+00 +7.0000e+00 +1.6000e+01 +7.0000e+00 +3.0000e+00 +1.0000e+00 +6.0000e+00 +0.0000e+00 +1.0000e+00 +1.0000e+00 +1.6000e+01 +7.0000e+00 +0.0000e+00 +6.0000e+00 +1.0000e+00 +1.6000e+01 +3.0000e+00 +7.0000e+00 +7.0000e+00 +0.0000e+00
% function evaluation | noise-free fitness - Fopt (-1.308000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.512449747e+03 +3.512449747e+03 +3.499369747e+03 +3.499369747e+03 +1.1000e+01 +2.4000e+01 +2.3000e+01 +0.0000e+00 +0.0000e+00 +2.0000e+00 +0.0000e+00 +2.3000e+01 +8.0000e+00 +2.0000e+00 +1.0000e+00 +0.0000e+00 +0.0000e+00 +4.0000e+00 +2.3000e+01 +1.0000e+01 +1.2000e+01 +9.0000e+00 +8.0000e+00 +2.8000e+01
35 +2.266691347e+03 +2.266691347e+03 +2.253611347e+03 +2.253611347e+03 +1.5000e+01 +1.0000e+00 +1.9000e+01 +7.0000e+00 +0.0000e+00 +0.0000e+00 +1.9000e+01 +9.0000e+00 +3.0000e+00 +0.0000e+00 +8.0000e+00 +2.1000e+01 +1.9000e+01 +1.9000e+01 +0.0000e+00 +8.0000e+00 +8.0000e+00 +0.0000e+00 +3.0000e+00 +0.0000e+00
96 +8.286273466e+02 +8.286273466e+02 +8.155473466e+02 +8.155473466e+02 +1.0000e+01 +1.0000e+01 +0.0000e+00 +1.1000e+01 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +1.0000e+01 +1.0000e+01 +1.0000e+01 +1.1000e+01 +0.0000e+00 +0.0000e+00 +1.1000e+01 +0.0000e+00 +0.0000e+00 +0.0000e+00
% function evaluation | noise-free fitness - Fopt (2.671600000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.870225784e+03 +4.870225784e+03 +5.137385784e+03 +5.137385784e+03 +3.0000e+00 +8.0000e+00 +2.6000e+01 +1.9000e+01 +1.1000e+01 +5.0000e+00 +0.0000e+00 +5.0000e+00 +1.1000e+01 +2.2000e+01 +1.1000e+01 +2.4000e+01 +0.0000e+00 +2.2000e+01 +6.0000e+00 +1.1000e+01 +7.0000e+00 +0.0000e+00 +2.4000e+01 +2.0000e+01
20 +3.573937784e+03 +3.573937784e+03 +3.841097784e+03 +3.841097784e+03 +1.2000e+01 +1.6000e+01 +2.4000e+01 +1.6000e+01 +3.0000e+00 +1.0000e+00 +1.2000e+01 +1.0000e+00 +3.0000e+00 +2.0000e+01 +3.0000e+00 +2.0000e+01 +1.0000e+00 +2.0000e+01 +1.3000e+01 +3.0000e+00 +8.0000e+00 +1.2000e+01 +5.0000e+00 +3.0000e+00
69 +1.728251384e+03 +1.728251384e+03 +1.995411384e+03 +1.995411384e+03 +1.1000e+01 +1.1000e+01 +3.0000e+00 +3.0000e+00 +1.0000e+00 +3.0000e+00 +1.1000e+01 +1.1000e+01 +3.0000e+00 +1.0000e+00 +7.0000e+00 +1.1000e+01 +0.0000e+00 +1.1000e+01 +0.0000e+00 +1.1000e+01 +1.1000e+01 +1.1000e+01 +7.0000e+00 +1.1000e+01
89 +1.469198584e+03 +1.469198584e+03 +1.736358584e+03 +1.736358584e+03 +0.0000e+00 +6.0000e+00 +2.0000e+00 +1.0000e+01 +1.0000e+01 +0.0000e+00 +1.0000e+01 +1.0000e+01 +1.0000e+01 +1.0000e+01 +0.0000e+00 +1.0000e+01 +1.0000e+01 +1.0000e+01 +2.0000e+00 +2.0000e+00 +2.0000e+00 +1.0000e+01 +1.0000e+01 +1.0000e+01
% function evaluation | noise-free fitness - Fopt (3.710000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.655809309e+03 +3.655809309e+03 +3.659519309e+03 +3.659519309e+03 +1.1000e+01 +1.4000e+01 +7.0000e+00 +1.0000e+00 +2.4000e+01 +2.7000e+01 +0.0000e+00 +1.0000e+01 +8.0000e+00 +2.4000e+01 +0.0000e+00 +0.0000e+00 +5.0000e+00 +5.0000e+00 +1.0000e+00 +8.0000e+00 +0.0000e+00 +2.7000e+01 +6.0000e+00 +1.4000e+01
42 +2.381513309e+03 +2.381513309e+03 +2.385223309e+03 +2.385223309e+03 +0.0000e+00 +0.0000e+00 +1.1000e+01 +9.0000e+00 +9.0000e+00 +0.0000e+00 +0.0000e+00 +2.8000e+01 +0.0000e+00 +2.4000e+01 +0.0000e+00 +0.0000e+00 +0.0000e+00 +9.0000e+00 +4.0000e+00 +0.0000e+00 +4.0000e+00 +2.0000e+00 +0.0000e+00 +2.4000e+01
67 +1.563153309e+03 +1.563153309e+03 +1.566863309e+03 +1.566863309e+03 +0.0000e+00 +6.0000e+00 +2.0000e+00 +6.0000e+00 +2.0000e+00 +6.0000e+00 +2.2000e+01 +2.2000e+01 +0.0000e+00 +2.0000e+00 +6.0000e+00 +6.0000e+00 +0.0000e+00 +2.0000e+00 +2.0000e+00 +6.0000e+00 +2.0000e+00 +6.0000e+00 +6.0000e+00 +5.0000e+00
87 +9.934189094e+02 +9.934189094e+02 +9.971289094e+02 +9.971289094e+02 +5.0000e+00 +1.0000e+00 +0.0000e+00 +5.0000e+00 +5.0000e+00 +5.0000e+00 +5.0000e+00 +5.0000e+00 +5.0000e+00 +5.0000e+00 +5.0000e+00 +1.0000e+00 +5.0000e+00 +0.0000e+00 +5.0000e+00 +2.1000e+01 +1.0000e+00 +1.0000e+00 +0.0000e+00 +4.0000e+00
