% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.917856017e+03 +7.917856017e+03 +7.997336017e+03 +7.997336017e+03 +2.3000e+01 +3.0000e+01 +2.7000e+01 +0.0000e+00 +2.4000e+01 +3.0000e+00 +1.5000e+01 +1.3000e+01 +1.0000e+00 +2.7000e+01 +2.1000e+01 +1.1000e+01 +2.3000e+01 +2.6000e+01 +6.0000e+00 +1.1000e+01 +2.2000e+01 +2.3000e+01 +2.4000e+01 +6.0000e+00
5 +5.274851217e+03 +5.274851217e+03 +5.354331217e+03 +5.354331217e+03 +2.3000e+01 +4.0000e+00 +2.1000e+01 +4.0000e+00 +1.7000e+01 +5.0000e+00 +0.0000e+00 +2.8000e+01 +2.1000e+01 +2.0000e+00 +1.3000e+01 +1.0000e+00 +3.0000e+01 +1.4000e+01 +1.8000e+01 +3.0000e+00 +1.0000e+00 +2.5000e+01 +1.1000e+01 +1.1000e+01
52 +3.607020817e+03 +3.607020817e+03 +3.686500817e+03 +3.686500817e+03 +1.7000e+01 +2.6000e+01 +2.0000e+01 +7.0000e+00 +9.0000e+00 +9.0000e+00 +1.2000e+01 +2.5000e+01 +2.0000e+00 +1.0000e+00 +0.0000e+00 +0.0000e+00 +1.8000e+01 +2.2000e+01 +1.3000e+01 +0.0000e+00 +2.0000e+00 +0.0000e+00 +0.0000e+00 +1.6000e+01
114 +2.457203217e+03 +2.457203217e+03 +2.536683217e+03 +2.536683217e+03 +1.4000e+01 +1.1000e+01 +2.3000e+01 +3.0000e+00 +1.9000e+01 +0.0000e+00 +5.0000e+00 +0.0000e+00 +0.0000e+00 +1.0000e+01 +1.0000e+00 +1.0000e+01 +9.0000e+00 +2.0000e+01 +0.0000e+00 +1.2000e+01 +6.0000e+00 +4.0000e+00 +1.4000e+01 +0.0000e+00
189 +1.525395217e+03 +1.525395217e+03 +1.604875217e+03 +1.604875217e+03 +6.0000e+00 +7.0000e+00 +8.0000e+00 +0.0000e+00 +0.0000e+00 +1.0000e+01 +1.4000e+01 +1.1000e+01 +8.0000e+00 +0.0000e+00 +1.5000e+01 +6.0000e+00 +1.3000e+01 +1.0000e+01 +1.6000e+01 +9.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
% function evaluation | noise-free fitness - Fopt (3.944800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.528128482e+03 +5.528128482e+03 +5.922608482e+03 +5.922608482e+03 +1.2000e+01 +8.0000e+00 +1.9000e+01 +2.4000e+01 +1.3000e+01 +6.0000e+00 +1.7000e+01 +2.6000e+01 +2.8000e+01 +2.7000e+01 +2.0000e+00 +8.0000e+00 +9.0000e+00 +1.4000e+01 +0.0000e+00 +3.0000e+00 +4.0000e+00 +1.8000e+01 +2.6000e+01 +6.0000e+00
37 +3.614005282e+03 +3.614005282e+03 +4.008485282e+03 +4.008485282e+03 +1.1000e+01 +1.7000e+01 +5.0000e+00 +6.0000e+00 +3.0000e+00 +7.0000e+00 +1.9000e+01 +2.4000e+01 +1.3000e+01 +1.6000e+01 +9.0000e+00 +1.0000e+00 +1.2000e+01 +0.0000e+00 +9.0000e+00 +1.2000e+01 +1.1000e+01 +1.4000e+01 +2.0000e+01 +1.3000e+01
97 +2.386846882e+03 +2.386846882e+03 +2.781326882e+03 +2.781326882e+03 +8.0000e+00 +1.4000e+01 +2.0000e+00 +3.0000e+00 +0.0000e+00 +4.0000e+00 +1.6000e+01 +2.1000e+01 +1.0000e+01 +1.3000e+01 +6.0000e+00 +0.0000e+00 +9.0000e+00 +0.0000e+00 +6.0000e+00 +9.0000e+00 +8.0000e+00 +1.1000e+01 +1.7000e+01 +1.0000e+01
157 +1.474597282e+03 +1.474597282e+03 +1.869077282e+03 +1.869077282e+03 +5.0000e+00 +1.1000e+01 +0.0000e+00 +0.0000e+00 +0.0000e+00 +1.0000e+00 +1.3000e+01 +1.8000e+01 +7.0000e+00 +1.0000e+01 +3.0000e+00 +0.0000e+00 +6.0000e+00 +0.0000e+00 +3.0000e+00 +6.0000e+00 +5.0000e+00 +8.0000e+00 +1.4000e+01 +7.0000e+00
