% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.976832017e+03 +4.976832017e+03 +5.056312017e+03 +5.056312017e+03 +1.0000e+00 +2.7000e+01 +6.0000e+00 +1.6000e+01 +1.7000e+01 +2.2000e+01 +2.2000e+01 +7.0000e+00 +2.2000e+01 +2.2000e+01 +6.0000e+00 +1.0000e+01 +2.2000e+01 +2.0000e+00 +2.2000e+01 +2.0000e+01 +0.0000e+00 +2.0000e+00 +0.0000e+00 +1.1000e+01
7 +3.051644817e+03 +3.051644817e+03 +3.131124817e+03 +3.131124817e+03 +0.0000e+00 +1.6000e+01 +2.2000e+01 +2.8000e+01 +1.6000e+01 +2.0000e+00 +2.0000e+00 +1.0000e+01 +1.2000e+01 +2.0000e+00 +1.0000e+01 +1.2000e+01 +1.2000e+01 +9.0000e+00 +3.0000e+00 +1.8000e+01 +0.0000e+00 +9.0000e+00 +0.0000e+00 +0.0000e+00
84 +2.483889617e+03 +2.483889617e+03 +2.563369617e+03 +2.563369617e+03 +6.0000e+00 +4.0000e+00 +6.0000e+00 +2.7000e+01 +6.0000e+00 +0.0000e+00 +0.0000e+00 +7.0000e+00 +8.0000e+00 +0.0000e+00 +1.6000e+01 +1.6000e+01 +8.0000e+00 +9.0000e+00 +1.8000e+01 +2.1000e+01 +8.0000e+00 +9.0000e+00 +8.0000e+00 +4.0000e+00
327 +1.258326417e+03 +1.258326417e+03 +1.337806417e+03 +1.337806417e+03 +5.0000e+00 +1.2000e+01 +4.0000e+00 +9.0000e+00 +5.0000e+00 +1.0000e+00 +1.0000e+00 +1.3000e+01 +2.0000e+00 +1.0000e+00 +1.3000e+01 +1.2000e+01 +2.0000e+00 +5.0000e+00 +2.0000e+00 +2.0000e+00 +9.0000e+00 +5.0000e+00 +9.0000e+00 +1.2000e+01
% function evaluation | noise-free fitness - Fopt (3.944800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.815547682e+03 +4.815547682e+03 +5.210027682e+03 +5.210027682e+03 +9.0000e+00 +5.0000e+00 +1.9000e+01 +2.3000e+01 +1.3000e+01 +1.3000e+01 +2.6000e+01 +1.3000e+01 +7.0000e+00 +1.0000e+00 +2.6000e+01 +7.0000e+00 +1.2000e+01 +1.2000e+01 +1.0000e+00 +3.0000e+01 +1.2000e+01 +2.1000e+01 +1.2000e+01 +1.2000e+01
3 +3.134150882e+03 +3.134150882e+03 +3.528630882e+03 +3.528630882e+03 +1.2000e+01 +8.0000e+00 +9.0000e+00 +1.8000e+01 +8.0000e+00 +8.0000e+00 +1.6000e+01 +8.0000e+00 +1.8000e+01 +1.2000e+01 +1.6000e+01 +1.8000e+01 +1.0000e+01 +1.0000e+01 +1.2000e+01 +0.0000e+00 +1.0000e+01 +1.3000e+01 +1.0000e+01 +1.0000e+01
47 +2.395248482e+03 +2.395248482e+03 +2.789728482e+03 +2.789728482e+03 +0.0000e+00 +5.0000e+00 +2.9000e+01 +1.8000e+01 +5.0000e+00 +5.0000e+00 +8.0000e+00 +5.0000e+00 +0.0000e+00 +0.0000e+00 +8.0000e+00 +0.0000e+00 +1.2000e+01 +1.2000e+01 +0.0000e+00 +6.0000e+00 +1.2000e+01 +1.2000e+01 +1.2000e+01 +1.2000e+01
386 +1.533701282e+03 +1.533701282e+03 +1.928181282e+03 +1.928181282e+03 +5.0000e+00 +0.0000e+00 +2.2000e+01 +5.0000e+00 +0.0000e+00 +0.0000e+00 +1.7000e+01 +0.0000e+00 +9.0000e+00 +5.0000e+00 +1.7000e+01 +9.0000e+00 +2.0000e+00 +2.0000e+00 +5.0000e+00 +1.0000e+00 +2.0000e+00 +2.0000e+00 +2.0000e+00 +2.0000e+00
% function evaluation | noise-free fitness - Fopt (-2.471100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
